"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,3;1;1,329;0,225;1,104;0,00227967112027265;829
0;0;0;0;0;0;0
0,3;1;1,387;0,229;1,158;0,00227966505295853;827
0;0;0;0;0;0;0
0,3;1;1,433;0,238;1,195;0,00227966065369254;825
0;0;0;0;0;0;0
0,3;1;1,48;0,252;1,228;0,00227965216110379;823
0;0;0;0;0;0;0
0,3;1;1,528;0,266;1,262;0,00227964381889525;821
0;0;0;0;0;0;0
0,3;1;1,576;0,279;1,297;0,00227164337668864;819
0;0;0;0;0;0;0
0,3;1;1,63;0,299;1,331;0,0022558195697941;817
0;0;0;0;0;0;0
0,3;1;1,709;0,41;1,299;0,00224021751186493;815
0;0;0;0;0;0;0
0,3;1;1,78;0,489;1,291;0,00222483577395945;813
0;0;0;0;0;0;0
0,3;1;1,857;0,531;1,326;0,00220966982268347;811
0;0;0;0;0;0;0
0,3;1;1,993;0,553;1,44;0,00219470846499939;809
0;0;0;0;0;0;0
0,3;1;2,213;0,587;1,626;0,00217994443115922;807
0;0;0;0;0;0;0
0,3;1;2,568;0,599;1,969;0,00216538502018417;805
0;0;0;0;0;0;0
0,3;1;2,732;0,613;2,119;0,00215101602814109;803
0;0;0;0;0;0;0
0,3;1;2,937;0,635;2,302;0,00213683749673183;801
0;0;0;0;0;0;0
0,3;1;3,222;0,651;2,571;0,00212284476098501;799
0;0;0;0;0;0;0
0,3;1;3,647;0,69;2,957;0,0021090346098253;797
0;0;0;0;0;0;0
0,3;1;4,202;0,725;3,477;0,00209540703589034;795
0;0;0;0;0;0;0
0,3;1;4,777;0,763;4,014;0,00208195358630172;793
0;0;0;0;0;0;0
0,3;1;5,272;0,825;4,447;0,00206867430229866;791
0;0;0;0;0;0;0
0,3;1;5,7;0,862;4,838;0,00205556222241884;789
0;0;0;0;0;0;0
0,4;1;0,001;0;0,001;0,00204906722580677;999
0;0;0;0;0;0;0
0,4;1;0,001;0;0,001;0,00204906332425184;997
0;0;0;0;0;0;0
0,4;1;0,001;0;0,001;0,0020490592401105;995
0;0;0;0;0;0;0
0,4;1;0,011;0;0,011;0,0020490494590895;993
0;0;0;0;0;0;0
0,4;1;0,011;0;0,011;0,00204903869872637;991
0;0;0;0;0;0;0
0,4;1;0,012;0;0,012;0,00204898578203908;989
0;0;0;0;0;0;0
0,4;1;0,012;0,001;0,011;0,0020489768287855;987
0;0;0;0;0;0;0
0,4;1;0,012;0,001;0,011;0,0020489771575947;985
