"plasticity";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,1;3;0,0892857142857143;0;0,0892857142857143;0,000400200687185303;106
0,1;3;0,10655737704918;0;0,10655737704918;0,000348303051574248;107
0,1;3;0,125925925925926;0;0,125925925925926;0,000395371133176972;108
0,1;3;0,0263157894736842;0;0,0263157894736842;0,000281494060198166;109
0,1;3;0,0256410256410256;0;0,0256410256410256;0,000309568641496454;110
0,1;3;0,05625;0;0,05625;0,000304314673573814;111
0,1;3;0,0236686390532544;0;0,0236686390532544;0,000282592554381714;112
0,1;3;0,023121387283237;0;0,023121387283237;0,00027042171533405;113
0,1;3;0,0395480225988701;0;0,0395480225988701;0,000332953721169745;114
0,1;3;0,00543478260869565;0;0,00543478260869565;0,000302005919696842;115
0,1;3;0,0648648648648649;0;0,0648648648648649;0,000327315590863328;116
0,1;3;0,0558375634517767;0;0,0558375634517767;0,000239516860943305;117
0,1;3;0,0528846153846154;0;0,0528846153846154;0,00032307234151207;118
0,1;3;0,0867579908675799;0;0,0867579908675799;0,00028890956835851;119
0,1;3;0,0588235294117647;0;0,0588235294117647;0,000303417010061136;120
0,1;3;0,0912698412698413;0;0,0912698412698413;0,000310875888501645;121
0,1;3;0,0618181818181818;0;0,0618181818181818;0,000279483504473116;122
0,1;3;0,0993150684931507;0;0,0993150684931507;0,000347800455867363;123
0,1;3;0,0747663551401869;0,00311526479750779;0,0716510903426791;0,000350154894236173;124
0,1;3;0,0290697674418605;0;0,0290697674418605;0,000292787868340268;125
0,1;3;0,0706214689265537;0;0,0706214689265537;0,000282788093861127;126
0,1;3;0,0263852242744063;0;0,0263852242744063;0,000253404646860118;127
0,1;3;0,0437017994858612;0;0,0437017994858612;0,000297249839552389;128
0,1;3;0,0566502463054187;0;0,0566502463054187;0,000277224280880892;129
0,1;3;0,0442890442890443;0,00233100233100233;0,041958041958042;0,000302871647723608;130
0,1;3;0,0402684563758389;0,00447427293064877;0,0357941834451902;0,000305369601451069;131
